"","fecha_obs","lon.1","lat.1","layer_dates","layers_path","cell_ids_year","wc2.1_30s_prec","wc2.1_30s_tmax","wc2.1_30s_tmin","trian_test"
"35567","2000-07-01",-123.09187,43.83217,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",26191444,18,26.2000007629395,9.89999961853027,"Train"
"35568","2000-07-01",-101.794556,33.558365,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",39670848,60,33.7000007629395,19.7000007629395,"Train"
"35569","2000-07-01",-125.37702,49.155544,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",19201149,60,17.2000007629395,7.30000019073486,"Test"
"35570","2000-07-01",-119.64755,50.866158,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",16959342,46,26.3999996185303,11.1000003814697,"Train"
"35571","2000-07-01",-110.14371,34.466812,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",38477495,56,32.2000007629395,14,"Train"
"35572","2000-07-01",-135.44528,59.237095,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",5963751,44,18.8999996185303,9.80000019073486,"Test"
"35573","2000-07-01",-103.98281,30.618729,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",43532053,75,30.6000003814697,15.8999996185303,"Train"
"35574","2000-07-01",-122.51948,47.487934,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",21389292,21,22.5,11,"Test"
"35575","2000-07-01",-119.136,49.863663,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",18272083,51,24.2999992370605,7.80000019073486,"Train"
"35576","2000-07-01",-110.77678,43.396503,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",26761750,26,27.3999996185303,6,"Train"
"35577","2000-07-01",-104.994,39.8838,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",31367763,50,31.5,14.3000001907349,"Train"
"35578","2000-07-01",-122.921646,43.865723,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",26147709,23,24.7000007629395,8.89999961853027,"Train"
"35579","2000-07-01",-105.293274,40.425377,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",30656692,52,27.3999996185303,10.3999996185303,"Train"
"35580","2000-07-01",-108.00226,37.447742,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",34572529,91,18.3999996185303,3.29999995231628,"Train"
"35581","2000-07-01",-123.40196,48.427868,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",20153079,18,21.8999996185303,12.1999998092651,"Test"
"35582","2000-07-01",-105.60517,36.471123,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",35852680,49,29.8999996185303,10,"Train"
"35583","2000-07-01",-123.0083,48.461845,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",20109371,19,20.3999996185303,10.6999998092651,"Train"
"35584","2000-07-01",-134.64908,58.386818,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",7079625,105,18.2999992370605,9.69999980926514,"Train"
"35585","2000-07-01",-112.068504,46.386765,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",22834494,35,26.5,8.80000019073486,"Train"
"35586","2000-07-01",-104.42496,39.093563,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",32407037,70,28,11.1000003814697,"Test"
"35587","2000-07-01",-112.56791,37.37366,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",34670432,35,28.2000007629395,9.89999961853027,"Test"
"35588","2000-07-01",-111.82619,36.043045,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",36409822,40,30.3999996185303,12.3000001907349,"Train"
"35589","2000-07-01",-107.370384,41.12074,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",29748506,31,28,8.10000038146973,"Train"
"35590","2000-07-01",-105.92711,35.642162,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",36935602,73,30.2999992370605,12.3000001907349,"Train"
"35591","2000-07-01",-105.519905,41.235542,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",29595582,46,25.7000007629395,8.30000019073486,"Train"
"35592","2000-07-01",-122.58117,37.868484,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",34012891,3,23.2000007629395,10.8999996185303,"Train"
"35593","2000-07-01",-123.04859,53.806126,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",13097467,66,21.7999992370605,8.19999980926514,"Train"
"35594","2000-07-01",-119.242714,37.50161,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",34494607,8,26.2000007629395,8.60000038146973,"Test"
"35595","2000-07-01",-105.9137,35.739162,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",36815275,71,29.2999992370605,12,"Train"
"35596","2000-07-01",-124.37476,43.332047,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",26847631,15,18.6000003814697,10.5,"Train"
"35597","2000-07-01",-104.927795,38.824482,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",32767963,78,22.5,6.19999980926514,"Train"
"35598","2000-07-01",-123.07999,44.06584,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",25885154,15,27.8999996185303,11.3999996185303,"Train"
"35599","2000-07-01",-105.388245,35.55424,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",37055996,76,27.7000007629395,10.5,"Train"
"35600","2000-07-01",-108.083496,34.998222,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",37788585,63,27.6000003814697,9.39999961853027,"Train"
"35601","2000-07-01",-122.65927,47.435055,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",21454909,24,23,10.8000001907349,"Train"
"35602","2000-07-01",-105.75163,40.447975,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",30634759,63,16.7999992370605,2,"Test"
"35603","2000-07-01",-122.72548,53.92024,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",12944359,64,23.5,9.69999980926514,"Train"
"35604","2000-07-01",-124.891205,49.68468,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",18501112,31,23.2000007629395,12.6000003814697,"Train"
"35605","2000-07-01",-121.57839,44.50138,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",25305567,19,23.7999992370605,5.80000019073486,"Train"
"35606","2000-07-01",-124.40311,47.979794,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",20743665,65,21.1000003814697,9.60000038146973,"Train"
"35607","2000-07-01",-116.83151,34.12364,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",38936131,26,22.7999992370605,6.80000019073486,"Train"
"35608","2000-07-01",-120.50354,48.937836,"2000-07-01","/home/ecologia/Documents/Lorena/capas/WorldClim_1970-2020_monthly_recortado/2000-07",19486148,40,21.1000003814697,5.80000019073486,"Train"
